make,model,year,mileage,engine_size,transmission,fuel_type,terrain_type,avg_road_quality,days_since_service,driving_style,service_needed
Suzuki,Swift,2004,149867,2.3,Manual,Petrol,Urban,3,71,smooth,0
Suzuki,Alto,2018,57886,1.5,Automatic,Diesel,Hills,3,458,smooth,1
Hyundai,Venue,2021,129324,1.8,Automatic,Diesel,Urban,3,308,normal,0
Kia,Sportage,1999,62735,2.1,Automatic,Petrol,Highway,2,191,smooth,1
Kia,Seltos,2018,187779,1.8,Manual,Petrol,Hills,5,560,rough,1
Suzuki,Alto,2007,152503,1.3,Automatic,Diesel,Hills,3,566,smooth,1
Mahindra,Scorpio,2017,34551,1.5,Automatic,Petrol,Highway,5,20,normal,0
Tata,Tiago,2006,90313,2.3,Automatic,Diesel,Hills,4,13,rough,1
Hyundai,Venue,2015,177073,1.3,Automatic,Diesel,Highway,5,339,rough,1
Tata,Nexon,2012,157555,1.0,Automatic,Petrol,Highway,5,34,normal,0
Hyundai,Creta,2011,38920,1.2,Manual,Diesel,Urban,4,1,normal,0
Tata,Nexon,2003,81953,1.7,Automatic,Diesel,Urban,5,401,normal,1
Tata,Tiago,2023,199769,1.4,Manual,Petrol,Urban,4,269,rough,1
Suzuki,Alto,2013,14534,0.9,Manual,Petrol,Hills,4,295,smooth,1
Suzuki,Wagon R,2018,26247,2.0,Automatic,Petrol,Highway,5,216,rough,1
Tata,Nexon,2010,41044,2.1,Manual,Diesel,Urban,1,520,rough,1
Suzuki,Wagon R,2021,196664,1.1,Manual,Diesel,Urban,3,498,rough,1
Suzuki,Alto,2014,167231,2.0,Automatic,Petrol,Urban,1,378,normal,1
Hyundai,i10,2002,137633,1.4,Manual,Petrol,Urban,1,27,smooth,0
Kia,Sportage,2004,11392,1.8,Manual,Petrol,Highway,2,32,rough,1
Tata,Tiago,2013,130478,1.3,Automatic,Diesel,Urban,5,98,smooth,1
Mahindra,Scorpio,2009,197407,1.2,Manual,Diesel,Highway,3,461,rough,1
Toyota,Hilux,2000,187064,2.0,Manual,Petrol,Highway,3,392,normal,0
Suzuki,Alto,2012,125409,1.5,Automatic,Petrol,Highway,3,574,smooth,0
Tata,Nexon,2004,125096,1.3,Manual,Petrol,Hills,4,484,rough,1
Hyundai,i10,2020,190116,1.7,Manual,Petrol,Highway,5,35,normal,0
Tata,Tiago,2010,65623,1.8,Manual,Diesel,Highway,3,85,smooth,0
Suzuki,Alto,1999,112225,2.1,Manual,Petrol,Highway,1,27,normal,0
Suzuki,Baleno,2009,28939,2.2,Manual,Diesel,Hills,3,505,smooth,1
Tata,Nexon,2020,149779,1.4,Automatic,Petrol,Urban,1,384,normal,1
Tata,Tiago,2022,195445,0.8,Automatic,Diesel,Hills,5,258,rough,1
Tata,Tiago,2004,192125,1.6,Manual,Diesel,Hills,1,317,normal,1
Suzuki,Baleno,2002,16545,1.3,Manual,Petrol,Urban,3,373,rough,1
Mahindra,XUV300,2021,71840,1.4,Automatic,Petrol,Urban,1,441,smooth,1
Toyota,Yaris,2017,55733,1.9,Automatic,Petrol,Urban,3,112,normal,0
Suzuki,Swift,2002,96264,1.2,Manual,Petrol,Urban,2,219,normal,1
Kia,Seltos,2019,134926,1.2,Automatic,Petrol,Urban,1,384,rough,1
Hyundai,Venue,2016,180789,1.0,Manual,Petrol,Urban,4,415,smooth,1
Mahindra,Bolero,2020,73467,0.9,Manual,Diesel,Hills,3,400,rough,1
Suzuki,Wagon R,2003,109308,1.8,Automatic,Petrol,Hills,3,510,normal,1
Mahindra,Bolero,2013,25671,2.1,Manual,Diesel,Highway,4,186,smooth,1
Mahindra,Scorpio,2003,54663,0.9,Manual,Petrol,Urban,4,402,normal,0
Toyota,Hilux,2023,37754,2.1,Automatic,Petrol,Highway,4,488,normal,0
Hyundai,Creta,1998,74295,1.6,Automatic,Diesel,Highway,1,472,rough,1
Toyota,Yaris,2015,50254,1.7,Automatic,Diesel,Highway,2,262,smooth,1
Tata,Altroz,2013,99601,2.4,Manual,Petrol,Hills,4,571,rough,1
Suzuki,Wagon R,2014,136121,2.4,Automatic,Diesel,Hills,4,452,normal,1
Mahindra,Scorpio,2002,32855,1.8,Manual,Diesel,Urban,1,232,normal,1
Toyota,Corolla,2000,176714,2.0,Automatic,Petrol,Highway,3,403,rough,1
Toyota,Hilux,2021,123885,2.0,Automatic,Petrol,Urban,4,586,smooth,0
Tata,Tiago,2014,35711,2.1,Automatic,Diesel,Urban,4,253,smooth,0
Mahindra,Scorpio,2000,129063,1.0,Automatic,Petrol,Hills,3,152,smooth,0
Hyundai,i20,2015,181047,1.3,Manual,Petrol,Highway,2,162,normal,0
Toyota,Yaris,2013,53108,1.2,Manual,Diesel,Urban,1,579,smooth,1
Hyundai,i20,1998,94412,1.1,Manual,Petrol,Urban,3,400,normal,0
Kia,Seltos,1998,110450,1.4,Automatic,Diesel,Highway,5,562,rough,1
Suzuki,Swift,2019,139967,1.8,Manual,Diesel,Hills,2,276,normal,1
Tata,Tiago,1998,173862,1.6,Automatic,Petrol,Urban,5,515,normal,0
Kia,Seltos,2000,112616,0.9,Automatic,Diesel,Urban,4,219,rough,1
Toyota,Yaris,2011,39212,2.2,Automatic,Petrol,Hills,4,36,smooth,0
Toyota,Yaris,2021,6420,1.5,Manual,Diesel,Hills,5,98,normal,0
Hyundai,i20,1998,127019,1.3,Manual,Diesel,Hills,5,160,rough,1
Hyundai,i10,2000,29641,1.7,Automatic,Diesel,Urban,2,322,smooth,1
Mahindra,Bolero,2005,185957,1.0,Automatic,Diesel,Highway,2,154,normal,0
Mahindra,Bolero,2007,179089,2.0,Manual,Petrol,Highway,1,392,rough,1
Toyota,Yaris,2008,108510,1.3,Automatic,Petrol,Hills,2,407,rough,1
Mahindra,XUV300,2010,113627,2.1,Manual,Diesel,Highway,1,511,smooth,1
Toyota,Hilux,2011,73031,0.9,Automatic,Diesel,Urban,3,470,rough,1
Suzuki,Alto,2012,147475,1.7,Automatic,Diesel,Urban,3,574,smooth,1
Kia,Sonet,2019,58609,2.2,Manual,Diesel,Hills,1,53,rough,1
Hyundai,Creta,2008,116632,2.1,Automatic,Petrol,Hills,4,4,rough,0
Toyota,Corolla,2004,90235,2.1,Automatic,Petrol,Urban,4,349,rough,1
Tata,Tiago,2012,173806,1.0,Manual,Petrol,Hills,5,369,normal,1
Hyundai,i20,2007,86613,0.9,Automatic,Diesel,Urban,3,57,smooth,0
Mahindra,XUV300,2020,28945,0.8,Automatic,Diesel,Hills,5,126,smooth,0
Hyundai,i20,2006,103235,1.5,Automatic,Diesel,Urban,2,512,smooth,1
Tata,Nexon,2012,180247,1.7,Manual,Diesel,Highway,1,487,normal,1
Kia,Seltos,2010,117548,1.8,Automatic,Diesel,Highway,5,446,smooth,1
Hyundai,i20,2002,116429,2.0,Automatic,Diesel,Hills,3,75,normal,0
Mahindra,Bolero,2023,70215,1.1,Manual,Petrol,Hills,1,284,rough,1
Mahindra,Bolero,2011,12435,0.9,Manual,Diesel,Urban,1,93,normal,0
Kia,Sportage,2011,81781,1.9,Automatic,Diesel,Highway,4,217,rough,1
Hyundai,Venue,2023,169319,2.1,Manual,Petrol,Hills,4,288,smooth,1
Mahindra,Scorpio,2002,29646,0.9,Automatic,Petrol,Urban,5,99,normal,0
Mahindra,Scorpio,1999,129131,1.4,Automatic,Petrol,Highway,2,441,smooth,1
Toyota,Corolla,1998,44975,1.9,Manual,Petrol,Urban,4,15,smooth,0
Hyundai,Creta,2021,191751,1.8,Automatic,Diesel,Urban,1,159,rough,0
Mahindra,Bolero,2017,152143,1.9,Manual,Diesel,Highway,3,379,rough,1
Kia,Seltos,1998,7000,2.1,Manual,Petrol,Urban,3,267,rough,1
Kia,Seltos,2000,41304,1.8,Manual,Petrol,Hills,3,555,rough,1
Suzuki,Alto,2010,41494,1.4,Automatic,Petrol,Hills,5,498,normal,1
Tata,Nexon,2015,103386,1.3,Manual,Diesel,Highway,2,417,normal,1
Tata,Tiago,2016,23358,1.0,Automatic,Diesel,Highway,5,492,smooth,0
Hyundai,Creta,2008,134484,0.9,Automatic,Diesel,Highway,1,276,normal,1
Tata,Altroz,2022,47425,1.5,Manual,Petrol,Highway,3,98,rough,0
Kia,Seltos,2013,20955,1.4,Manual,Diesel,Hills,5,368,normal,1
Suzuki,Alto,2020,74180,2.0,Automatic,Petrol,Hills,3,272,smooth,1
Toyota,Yaris,2014,17397,1.6,Manual,Petrol,Highway,1,341,smooth,1
